group,function,value,sample_time_nanos,iteration_count
Prefetch,,4,917964,24
Prefetch,,4,1835928,48
Prefetch,,4,2751632,72
Prefetch,,4,3669577,96
Prefetch,,4,4587149,120
Prefetch,,4,5503727,144
Prefetch,,4,6420819,168
Prefetch,,4,7343716,192
Prefetch,,4,8257787,216
Prefetch,,4,9191302,240
Prefetch,,4,10134569,264
Prefetch,,4,11109904,288
Prefetch,,4,12012367,312
Prefetch,,4,12980255,336
Prefetch,,4,13922402,360
Prefetch,,4,14795309,384
Prefetch,,4,15732177,408
Prefetch,,4,16672645,432
Prefetch,,4,17571405,456
Prefetch,,4,18505523,480
Prefetch,,4,20394612,504
Prefetch,,4,20344470,528
Prefetch,,4,21255489,552
Prefetch,,4,22268831,576
Prefetch,,4,22946697,600
Prefetch,,4,24050850,624
Prefetch,,4,24769803,648
Prefetch,,4,25689260,672
Prefetch,,4,26608692,696
Prefetch,,4,27528432,720
Prefetch,,4,28434761,744
Prefetch,,4,29354672,768
Prefetch,,4,30273838,792
Prefetch,,4,31188717,816
Prefetch,,4,32137320,840
Prefetch,,4,33033158,864
Prefetch,,4,33952262,888
Prefetch,,4,34864672,912
Prefetch,,4,35775230,936
Prefetch,,4,36692518,960
Prefetch,,4,37611448,984
Prefetch,,4,38522744,1008
Prefetch,,4,40280402,1032
Prefetch,,4,40443036,1056
Prefetch,,4,41278951,1080
Prefetch,,4,42196402,1104
Prefetch,,4,43112615,1128
Prefetch,,4,44033606,1152
Prefetch,,4,44946932,1176
Prefetch,,4,45908323,1200
Prefetch,,4,46881803,1224
Prefetch,,4,47705191,1248
Prefetch,,4,48622479,1272
Prefetch,,4,49551254,1296
Prefetch,,4,50460534,1320
Prefetch,,4,51371824,1344
Prefetch,,4,52311969,1368
Prefetch,,4,53210372,1392
Prefetch,,4,54130756,1416
Prefetch,,4,55057106,1440
Prefetch,,4,55964371,1464
Prefetch,,4,56879309,1488
Prefetch,,4,57836733,1512
Prefetch,,4,58706210,1536
Prefetch,,4,59622955,1560
Prefetch,,4,60549417,1584
Prefetch,,4,61480249,1608
Prefetch,,4,62371180,1632
Prefetch,,4,63288707,1656
Prefetch,,4,64216328,1680
Prefetch,,4,65131119,1704
Prefetch,,4,66081131,1728
Prefetch,,4,66965245,1752
Prefetch,,4,67881076,1776
Prefetch,,4,68800263,1800
Prefetch,,4,69715563,1824
Prefetch,,4,70682061,1848
Prefetch,,4,71562035,1872
Prefetch,,4,72486789,1896
Prefetch,,4,73381984,1920
Prefetch,,4,74299015,1944
Prefetch,,4,75217695,1968
Prefetch,,4,76160295,1992
Prefetch,,4,77071345,2016
Prefetch,,4,78002573,2040
Prefetch,,4,78882476,2064
Prefetch,,4,79806970,2088
Prefetch,,4,80736472,2112
Prefetch,,4,81678412,2136
Prefetch,,4,82567391,2160
Prefetch,,4,83478711,2184
Prefetch,,4,84390502,2208
Prefetch,,4,85323564,2232
Prefetch,,4,86232701,2256
Prefetch,,4,87149868,2280
Prefetch,,4,88111823,2304
Prefetch,,4,89032253,2328
Prefetch,,4,89947433,2352
Prefetch,,4,90856739,2376
Prefetch,,4,91783482,2400
