group,function,value,sample_time_nanos,iteration_count
Prefetch,,2,856888,69
Prefetch,,2,1711566,138
Prefetch,,2,2564486,207
Prefetch,,2,3423604,276
Prefetch,,2,4328193,345
Prefetch,,2,5146199,414
Prefetch,,2,5981902,483
Prefetch,,2,6864808,552
Prefetch,,2,7701512,621
Prefetch,,2,8540758,690
Prefetch,,2,9397322,759
Prefetch,,2,10260100,828
Prefetch,,2,11114532,897
Prefetch,,2,11960464,966
Prefetch,,2,12870408,1035
Prefetch,,2,13706710,1104
Prefetch,,2,14521892,1173
Prefetch,,2,15368620,1242
Prefetch,,2,16306721,1311
Prefetch,,2,17115335,1380
Prefetch,,2,17939475,1449
Prefetch,,2,18800701,1518
Prefetch,,2,22537778,1587
Prefetch,,2,36222364,1656
Prefetch,,2,37694296,1725
Prefetch,,2,39148030,1794
Prefetch,,2,40651750,1863
Prefetch,,2,42165943,1932
Prefetch,,2,43665034,2001
Prefetch,,2,45169875,2070
Prefetch,,2,46670731,2139
Prefetch,,2,48486210,2208
Prefetch,,2,49858986,2277
Prefetch,,2,51528184,2346
Prefetch,,2,53027178,2415
Prefetch,,2,54475500,2484
Prefetch,,2,55976176,2553
Prefetch,,2,57501593,2622
Prefetch,,2,58862226,2691
Prefetch,,2,60397392,2760
Prefetch,,2,61888941,2829
Prefetch,,2,63276377,2898
Prefetch,,2,64853219,2967
Prefetch,,2,66373642,3036
Prefetch,,2,68227198,3105
Prefetch,,2,69892024,3174
Prefetch,,2,49701113,3243
Prefetch,,2,41454510,3312
Prefetch,,2,42360743,3381
Prefetch,,2,43032445,3450
Prefetch,,2,43940067,3519
Prefetch,,2,45252520,3588
Prefetch,,2,46512401,3657
Prefetch,,2,47267472,3726
Prefetch,,2,48593077,3795
Prefetch,,2,48200326,3864
Prefetch,,2,49197737,3933
Prefetch,,2,49597994,4002
Prefetch,,2,50410023,4071
Prefetch,,2,52135723,4140
Prefetch,,2,52916624,4209
Prefetch,,2,53623472,4278
Prefetch,,2,54837151,4347
Prefetch,,2,55140912,4416
Prefetch,,2,59970969,4485
Prefetch,,2,59563998,4554
Prefetch,,2,59613947,4623
Prefetch,,2,61037033,4692
Prefetch,,2,61434687,4761
Prefetch,,2,60306184,4830
Prefetch,,2,61100061,4899
Prefetch,,2,62260518,4968
Prefetch,,2,62872634,5037
Prefetch,,2,66160987,5106
Prefetch,,2,64462231,5175
Prefetch,,2,65175875,5244
Prefetch,,2,66946665,5313
Prefetch,,2,77871449,5382
Prefetch,,2,77829669,5451
Prefetch,,2,69005229,5520
Prefetch,,2,71505291,5589
Prefetch,,2,73211717,5658
Prefetch,,2,72533421,5727
Prefetch,,2,74221850,5796
Prefetch,,2,78510217,5865
Prefetch,,2,92854624,5934
Prefetch,,2,78886879,6003
Prefetch,,2,76152240,6072
Prefetch,,2,77742712,6141
Prefetch,,2,77425674,6210
Prefetch,,2,78644391,6279
Prefetch,,2,79185721,6348
Prefetch,,2,81966517,6417
Prefetch,,2,86835085,6486
Prefetch,,2,81716508,6555
Prefetch,,2,82804245,6624
Prefetch,,2,84299613,6693
Prefetch,,2,87147850,6762
Prefetch,,2,86224252,6831
Prefetch,,2,87336686,6900
