group,function,value,sample_time_nanos,iteration_count
Prefetch,,50,1008253,2
Prefetch,,50,2003714,4
Prefetch,,50,2999248,6
Prefetch,,50,4016380,8
Prefetch,,50,5025515,10
Prefetch,,50,6009906,12
Prefetch,,50,7006766,14
Prefetch,,50,7995862,16
Prefetch,,50,9033335,18
Prefetch,,50,10012176,20
Prefetch,,50,11026584,22
Prefetch,,50,12008710,24
Prefetch,,50,13003273,26
Prefetch,,50,14024197,28
Prefetch,,50,15012278,30
Prefetch,,50,16055945,32
Prefetch,,50,17040938,34
Prefetch,,50,18021616,36
Prefetch,,50,19031041,38
Prefetch,,50,20012818,40
Prefetch,,50,21003328,42
Prefetch,,50,22042737,44
Prefetch,,50,23040633,46
Prefetch,,50,24028489,48
Prefetch,,50,25082982,50
Prefetch,,50,26044016,52
Prefetch,,50,27010415,54
Prefetch,,50,28003467,56
Prefetch,,50,29046117,58
Prefetch,,50,30029887,60
Prefetch,,50,31010255,62
Prefetch,,50,32057614,64
Prefetch,,50,33034492,66
Prefetch,,50,34056065,68
Prefetch,,50,35259091,70
Prefetch,,50,35991851,72
Prefetch,,50,36969861,74
Prefetch,,50,38240042,76
Prefetch,,50,39104473,78
Prefetch,,50,39988462,80
Prefetch,,50,41096878,82
Prefetch,,50,42003321,84
Prefetch,,50,42986641,86
Prefetch,,50,43988876,88
Prefetch,,50,44986653,90
Prefetch,,50,45977514,92
Prefetch,,50,46988767,94
Prefetch,,50,48013923,96
Prefetch,,50,49029062,98
Prefetch,,50,50012369,100
Prefetch,,50,51134764,102
Prefetch,,50,52024344,104
Prefetch,,50,53083659,106
Prefetch,,50,53998261,108
Prefetch,,50,55034636,110
Prefetch,,50,56127904,112
Prefetch,,50,57012684,114
Prefetch,,50,58045250,116
Prefetch,,50,59066555,118
Prefetch,,50,60022657,120
Prefetch,,50,61070150,122
Prefetch,,50,62137484,124
Prefetch,,50,63047699,126
Prefetch,,50,64349782,128
Prefetch,,50,65105451,130
Prefetch,,50,66125131,132
Prefetch,,50,67068889,134
Prefetch,,50,68097109,136
Prefetch,,50,69045285,138
Prefetch,,50,70044356,140
Prefetch,,50,71090051,142
Prefetch,,50,72148360,144
Prefetch,,50,73136112,146
Prefetch,,50,74174195,148
Prefetch,,50,75114861,150
Prefetch,,50,76073503,152
Prefetch,,50,77103152,154
Prefetch,,50,78086779,156
Prefetch,,50,79064192,158
Prefetch,,50,80022615,160
Prefetch,,50,81070293,162
Prefetch,,50,82105245,164
Prefetch,,50,83199001,166
Prefetch,,50,84311275,168
Prefetch,,50,83468048,170
Prefetch,,50,83052412,172
Prefetch,,50,85125640,174
Prefetch,,50,84742297,176
Prefetch,,50,85690788,178
Prefetch,,50,86622049,180
Prefetch,,50,87651010,182
Prefetch,,50,89718332,184
Prefetch,,50,89643327,186
Prefetch,,50,90492612,188
Prefetch,,50,91487791,190
Prefetch,,50,92416694,192
Prefetch,,50,94508789,194
Prefetch,,50,94399165,196
Prefetch,,50,95312365,198
Prefetch,,50,96314058,200
