group,function,value,sample_time_nanos,iteration_count
Prefetch,,1,942655,69
Prefetch,,1,1883683,138
Prefetch,,1,2827410,207
Prefetch,,1,3765388,276
Prefetch,,1,4713122,345
Prefetch,,1,5652188,414
Prefetch,,1,6592878,483
Prefetch,,1,7538697,552
Prefetch,,1,8481851,621
Prefetch,,1,9425942,690
Prefetch,,1,10370443,759
Prefetch,,1,11311349,828
Prefetch,,1,12279518,897
Prefetch,,1,13208272,966
Prefetch,,1,14147188,1035
Prefetch,,1,15094731,1104
Prefetch,,1,16026199,1173
Prefetch,,1,16971506,1242
Prefetch,,1,17916558,1311
Prefetch,,1,18852892,1380
Prefetch,,1,19802686,1449
Prefetch,,1,20746998,1518
Prefetch,,1,21678233,1587
Prefetch,,1,22609991,1656
Prefetch,,1,23549538,1725
Prefetch,,1,24467263,1794
Prefetch,,1,25407080,1863
Prefetch,,1,26351998,1932
Prefetch,,1,27299661,2001
Prefetch,,1,28234015,2070
Prefetch,,1,29171931,2139
Prefetch,,1,30114240,2208
Prefetch,,1,31052061,2277
Prefetch,,1,31995861,2346
Prefetch,,1,33101491,2415
Prefetch,,1,33874309,2484
Prefetch,,1,34818027,2553
Prefetch,,1,35758997,2622
Prefetch,,1,36700126,2691
Prefetch,,1,37743825,2760
Prefetch,,1,38583594,2829
Prefetch,,1,39524124,2898
Prefetch,,1,40470089,2967
Prefetch,,1,41412397,3036
Prefetch,,1,42345646,3105
Prefetch,,1,43293288,3174
Prefetch,,1,44236777,3243
Prefetch,,1,45181679,3312
Prefetch,,1,46113238,3381
Prefetch,,1,47060833,3450
Prefetch,,1,47992348,3519
Prefetch,,1,48933671,3588
Prefetch,,1,49880977,3657
Prefetch,,1,50822073,3726
Prefetch,,1,51775925,3795
Prefetch,,1,52713483,3864
Prefetch,,1,53653819,3933
Prefetch,,1,54583448,4002
Prefetch,,1,55524071,4071
Prefetch,,1,56534383,4140
Prefetch,,1,57411703,4209
Prefetch,,1,58402269,4278
Prefetch,,1,37835829,4347
Prefetch,,1,36431576,4416
Prefetch,,1,37027725,4485
Prefetch,,1,37559109,4554
Prefetch,,1,38132455,4623
Prefetch,,1,38699799,4692
Prefetch,,1,39266584,4761
Prefetch,,1,39850572,4830
Prefetch,,1,45814460,4899
Prefetch,,1,44655731,4968
Prefetch,,1,41961386,5037
Prefetch,,1,42506232,5106
Prefetch,,1,42925239,5175
Prefetch,,1,43814318,5244
Prefetch,,1,43821519,5313
Prefetch,,1,44395775,5382
Prefetch,,1,44982446,5451
Prefetch,,1,45629754,5520
Prefetch,,1,46413782,5589
Prefetch,,1,46915860,5658
Prefetch,,1,47524519,5727
Prefetch,,1,47845458,5796
Prefetch,,1,48368215,5865
Prefetch,,1,49035943,5934
Prefetch,,1,49761121,6003
Prefetch,,1,53626739,6072
Prefetch,,1,69291553,6141
Prefetch,,1,57995270,6210
Prefetch,,1,52869417,6279
Prefetch,,1,53548697,6348
Prefetch,,1,55900025,6417
Prefetch,,1,58265245,6486
Prefetch,,1,55436922,6555
Prefetch,,1,63277197,6624
Prefetch,,1,58739537,6693
Prefetch,,1,56595971,6762
Prefetch,,1,57144275,6831
Prefetch,,1,57443543,6900
