group,function,value,sample_time_nanos,iteration_count
Prefetch,,27,972889,3
Prefetch,,27,1927637,6
Prefetch,,27,2872844,9
Prefetch,,27,3857805,12
Prefetch,,27,4822783,15
Prefetch,,27,5768009,18
Prefetch,,27,6741457,21
Prefetch,,27,7702137,24
Prefetch,,27,8654454,27
Prefetch,,27,9690141,30
Prefetch,,27,10602204,33
Prefetch,,27,11493564,36
Prefetch,,27,12569753,39
Prefetch,,27,13431272,42
Prefetch,,27,14440528,45
Prefetch,,27,15404085,48
Prefetch,,27,16320489,51
Prefetch,,27,17401599,54
Prefetch,,27,18288558,57
Prefetch,,27,19236016,60
Prefetch,,27,20191379,63
Prefetch,,27,21183606,66
Prefetch,,27,22449892,69
Prefetch,,27,23067475,72
Prefetch,,27,24078938,75
Prefetch,,27,25126306,78
Prefetch,,27,25916485,81
Prefetch,,27,26932711,84
Prefetch,,27,28974937,87
Prefetch,,27,30541591,90
Prefetch,,27,31479063,93
Prefetch,,27,32523098,96
Prefetch,,27,33413657,99
Prefetch,,27,34256029,102
Prefetch,,27,35195148,105
Prefetch,,27,36159466,108
Prefetch,,27,36115122,111
Prefetch,,27,36516205,114
Prefetch,,27,37547855,117
Prefetch,,27,38528075,120
Prefetch,,27,40441084,123
Prefetch,,27,40728093,126
Prefetch,,27,42308522,129
Prefetch,,27,44425576,132
Prefetch,,27,43783280,135
Prefetch,,27,44201661,138
Prefetch,,27,45147858,141
Prefetch,,27,46262902,144
Prefetch,,27,48885335,147
Prefetch,,27,48232528,150
Prefetch,,27,49201798,153
Prefetch,,27,50122395,156
Prefetch,,27,50997410,159
Prefetch,,27,51991760,162
Prefetch,,27,52939215,165
Prefetch,,27,53856341,168
Prefetch,,27,54760247,171
Prefetch,,27,55770497,174
Prefetch,,27,56705551,177
Prefetch,,27,57965293,180
Prefetch,,27,58854961,183
Prefetch,,27,59830515,186
Prefetch,,27,60774357,189
Prefetch,,27,61655544,192
Prefetch,,27,62554639,195
Prefetch,,27,66931585,198
Prefetch,,27,64438758,201
Prefetch,,27,65565746,204
Prefetch,,27,66642281,207
Prefetch,,27,67548655,210
Prefetch,,27,68498351,213
Prefetch,,27,69463978,216
Prefetch,,27,70401435,219
Prefetch,,27,71454248,222
Prefetch,,27,72294705,225
Prefetch,,27,73316545,228
Prefetch,,27,74303771,231
Prefetch,,27,75402812,234
Prefetch,,27,76573523,237
Prefetch,,27,78405641,240
Prefetch,,27,78261469,243
Prefetch,,27,78830021,246
Prefetch,,27,80040194,249
Prefetch,,27,89750682,252
Prefetch,,27,81746452,255
Prefetch,,27,82675726,258
Prefetch,,27,83671396,261
Prefetch,,27,85832815,264
Prefetch,,27,85774172,267
Prefetch,,27,86748600,270
Prefetch,,27,93253250,273
Prefetch,,27,88865413,276
Prefetch,,27,89495719,279
Prefetch,,27,91235302,282
Prefetch,,27,93371368,285
Prefetch,,27,93234760,288
Prefetch,,27,93554744,291
Prefetch,,27,95379850,294
Prefetch,,27,96203325,297
Prefetch,,27,97904561,300
