group,function,value,sample_time_nanos,iteration_count
Prefetch,,49,795213,2
Prefetch,,49,1403760,4
Prefetch,,49,2101064,6
Prefetch,,49,2805850,8
Prefetch,,49,3503953,10
Prefetch,,49,4218440,12
Prefetch,,49,4915536,14
Prefetch,,49,5601879,16
Prefetch,,49,6309786,18
Prefetch,,49,7041156,20
Prefetch,,49,7721255,22
Prefetch,,49,8402359,24
Prefetch,,49,9102703,26
Prefetch,,49,9800436,28
Prefetch,,49,10498935,30
Prefetch,,49,11206189,32
Prefetch,,49,11913858,34
Prefetch,,49,12627748,36
Prefetch,,49,13301364,38
Prefetch,,49,13989694,40
Prefetch,,49,14709253,42
Prefetch,,49,15430870,44
Prefetch,,49,16279578,46
Prefetch,,49,17659078,48
Prefetch,,49,17581307,50
Prefetch,,49,18311825,52
Prefetch,,49,19004638,54
Prefetch,,49,19718448,56
Prefetch,,49,20443490,58
Prefetch,,49,21141147,60
Prefetch,,49,21816608,62
Prefetch,,49,22629271,64
Prefetch,,49,23271977,66
Prefetch,,49,24003311,68
Prefetch,,49,24727368,70
Prefetch,,49,25420213,72
Prefetch,,49,26096074,74
Prefetch,,49,26776355,76
Prefetch,,49,27482344,78
Prefetch,,49,28157592,80
Prefetch,,49,28893801,82
Prefetch,,49,29531560,84
Prefetch,,49,30100770,86
Prefetch,,49,32210022,88
Prefetch,,49,31513297,90
Prefetch,,49,32194586,92
Prefetch,,49,32950968,94
Prefetch,,49,33694230,96
Prefetch,,49,34517644,98
Prefetch,,49,35239703,100
Prefetch,,49,35877006,102
Prefetch,,49,36587682,104
Prefetch,,49,37342921,106
Prefetch,,49,38234339,108
Prefetch,,49,38548101,110
Prefetch,,49,39443023,112
Prefetch,,49,40120686,114
Prefetch,,49,40837702,116
Prefetch,,49,41606441,118
Prefetch,,49,42314259,120
Prefetch,,49,42963769,122
Prefetch,,49,43908220,124
Prefetch,,49,44353391,126
Prefetch,,49,45080308,128
Prefetch,,49,45765467,130
Prefetch,,49,46479098,132
Prefetch,,49,47178761,134
Prefetch,,49,47875341,136
Prefetch,,49,48627243,138
Prefetch,,49,49320805,140
Prefetch,,49,49893516,142
Prefetch,,49,50408857,144
Prefetch,,49,51415087,146
Prefetch,,49,51857729,148
Prefetch,,49,52634975,150
Prefetch,,49,53323204,152
Prefetch,,49,54202799,154
Prefetch,,49,54989383,156
Prefetch,,49,55613652,158
Prefetch,,49,56091271,160
Prefetch,,49,56776074,162
Prefetch,,49,57489400,164
Prefetch,,49,58098295,166
Prefetch,,49,58839274,168
Prefetch,,49,59805540,170
Prefetch,,49,60632165,172
Prefetch,,49,61019873,174
Prefetch,,49,61647640,176
Prefetch,,49,62950885,178
Prefetch,,49,63381697,180
Prefetch,,49,64127171,182
Prefetch,,49,64829017,184
Prefetch,,49,65568563,186
Prefetch,,49,65874760,188
Prefetch,,49,66572111,190
Prefetch,,49,67229901,192
Prefetch,,49,67919854,194
Prefetch,,49,68798503,196
Prefetch,,49,69463107,198
Prefetch,,49,71946542,200
