group,function,value,sample_time_nanos,iteration_count
Prefetch,,26,1102701,5
Prefetch,,26,2195232,10
Prefetch,,26,3302283,15
Prefetch,,26,4390052,20
Prefetch,,26,5485734,25
Prefetch,,26,6587103,30
Prefetch,,26,7681055,35
Prefetch,,26,8789467,40
Prefetch,,26,9893728,45
Prefetch,,26,10976037,50
Prefetch,,26,12068226,55
Prefetch,,26,13164049,60
Prefetch,,26,14263620,65
Prefetch,,26,15366659,70
Prefetch,,26,17650700,75
Prefetch,,26,17569611,80
Prefetch,,26,18654714,85
Prefetch,,26,19753824,90
Prefetch,,26,20849603,95
Prefetch,,26,21946285,100
Prefetch,,26,23037984,105
Prefetch,,26,24146696,110
Prefetch,,26,25236485,115
Prefetch,,26,26352858,120
Prefetch,,26,27446320,125
Prefetch,,26,28547340,130
Prefetch,,26,29633249,135
Prefetch,,26,30763183,140
Prefetch,,26,31821431,145
Prefetch,,26,32926112,150
Prefetch,,26,34011233,155
Prefetch,,26,36288790,160
Prefetch,,26,36198764,165
Prefetch,,26,37301546,170
Prefetch,,26,38405684,175
Prefetch,,26,39501581,180
Prefetch,,26,40606425,185
Prefetch,,26,41710415,190
Prefetch,,26,42795777,195
Prefetch,,26,43883565,200
Prefetch,,26,44969526,205
Prefetch,,26,46069798,210
Prefetch,,26,48341654,215
Prefetch,,26,48276971,220
Prefetch,,26,49379460,225
Prefetch,,26,50461742,230
Prefetch,,26,51576531,235
Prefetch,,26,52648900,240
Prefetch,,26,53758353,245
Prefetch,,26,54873383,250
Prefetch,,26,55951593,255
Prefetch,,26,58264777,260
Prefetch,,26,58167659,265
Prefetch,,26,59358720,270
Prefetch,,26,60395164,275
Prefetch,,26,61461238,280
Prefetch,,26,62570401,285
Prefetch,,26,63664032,290
Prefetch,,26,65848973,295
Prefetch,,26,65840963,300
Prefetch,,26,66932122,305
Prefetch,,26,68038143,310
Prefetch,,26,69105312,315
Prefetch,,26,70271669,320
Prefetch,,26,72016720,325
Prefetch,,26,73580791,330
Prefetch,,26,73505649,335
Prefetch,,26,74648939,340
Prefetch,,26,75696727,345
Prefetch,,26,76796333,350
Prefetch,,26,77882498,355
Prefetch,,26,87822083,360
Prefetch,,26,80135310,365
Prefetch,,26,81190881,370
Prefetch,,26,82262258,375
Prefetch,,26,83438227,380
Prefetch,,26,85875180,385
Prefetch,,26,85646871,390
Prefetch,,26,86964410,395
Prefetch,,26,87771002,400
Prefetch,,26,88912739,405
Prefetch,,26,89999040,410
Prefetch,,26,93706961,415
Prefetch,,26,92230323,420
Prefetch,,26,93357848,425
Prefetch,,26,94555878,430
Prefetch,,26,95759830,435
Prefetch,,26,96652090,440
Prefetch,,26,97716997,445
Prefetch,,26,98843945,450
Prefetch,,26,100451360,455
Prefetch,,26,102397406,460
Prefetch,,26,103155943,465
Prefetch,,26,103895856,470
Prefetch,,26,105329173,475
Prefetch,,26,107876507,480
Prefetch,,26,106581599,485
Prefetch,,26,107737838,490
Prefetch,,26,108742140,495
Prefetch,,26,109770375,500
