group,function,value,sample_time_nanos,iteration_count
Prefetch,,43,1238555,3
Prefetch,,43,2475909,6
Prefetch,,43,3714903,9
Prefetch,,43,5127986,12
Prefetch,,43,6195104,15
Prefetch,,43,7428618,18
Prefetch,,43,8667463,21
Prefetch,,43,9906286,24
Prefetch,,43,11148154,27
Prefetch,,43,12381048,30
Prefetch,,43,13616539,33
Prefetch,,43,14862914,36
Prefetch,,43,16090159,39
Prefetch,,43,17329775,42
Prefetch,,43,18573857,45
Prefetch,,43,19805497,48
Prefetch,,43,21041115,51
Prefetch,,43,22286626,54
Prefetch,,43,23524167,57
Prefetch,,43,24760897,60
Prefetch,,43,25996313,63
Prefetch,,43,27233461,66
Prefetch,,43,28478577,69
Prefetch,,43,29707850,72
Prefetch,,43,30956493,75
Prefetch,,43,32194790,78
Prefetch,,43,33427130,81
Prefetch,,43,34670584,84
Prefetch,,43,35909194,87
Prefetch,,43,37139355,90
Prefetch,,43,38373912,93
Prefetch,,43,39614755,96
Prefetch,,43,40851011,99
Prefetch,,43,42145671,102
Prefetch,,43,43648054,105
Prefetch,,43,44568096,108
Prefetch,,43,45810087,111
Prefetch,,43,47047230,114
Prefetch,,43,48359713,117
Prefetch,,43,49525236,120
Prefetch,,43,50755835,123
Prefetch,,43,51991605,126
Prefetch,,43,53248525,129
Prefetch,,43,54468480,132
Prefetch,,43,56843145,135
Prefetch,,43,57007545,138
Prefetch,,43,58185093,141
Prefetch,,43,59451980,144
Prefetch,,43,60657285,147
Prefetch,,43,61902059,150
Prefetch,,43,63145463,153
Prefetch,,43,64372161,156
Prefetch,,43,65644402,159
Prefetch,,43,66873518,162
Prefetch,,43,68288589,165
Prefetch,,43,69332194,168
Prefetch,,43,70563540,171
Prefetch,,43,71797972,174
Prefetch,,43,73129383,177
Prefetch,,43,74313768,180
Prefetch,,43,75543630,183
Prefetch,,43,76777093,186
Prefetch,,43,78017221,189
Prefetch,,43,79257343,192
Prefetch,,43,80511291,195
Prefetch,,43,81763197,198
Prefetch,,43,83284644,201
Prefetch,,43,84228324,204
Prefetch,,43,85429953,207
Prefetch,,43,86651864,210
Prefetch,,43,87928757,213
Prefetch,,43,89132199,216
Prefetch,,43,90374768,219
Prefetch,,43,91619786,222
Prefetch,,43,92847365,225
Prefetch,,43,94206242,228
Prefetch,,43,95577320,231
Prefetch,,43,96593435,234
Prefetch,,43,97861703,237
Prefetch,,43,99061157,240
Prefetch,,43,100367265,243
Prefetch,,43,101539191,246
Prefetch,,43,102767174,249
Prefetch,,43,104013414,252
Prefetch,,43,105367856,255
Prefetch,,43,106738481,258
Prefetch,,43,107750603,261
Prefetch,,43,108972789,264
Prefetch,,43,110246760,267
Prefetch,,43,111670384,270
Prefetch,,43,112686827,273
Prefetch,,43,113913966,276
Prefetch,,43,115169329,279
Prefetch,,43,116603969,282
Prefetch,,43,117648930,285
Prefetch,,43,118885280,288
Prefetch,,43,120205743,291
Prefetch,,43,121351180,294
Prefetch,,43,122595647,297
Prefetch,,43,123824248,300
