group,function,value,sample_time_nanos,iteration_count
Prefetch,,21,1065576,6
Prefetch,,21,2135005,12
Prefetch,,21,3203416,18
Prefetch,,21,4269446,24
Prefetch,,21,5334590,30
Prefetch,,21,6402067,36
Prefetch,,21,7468645,42
Prefetch,,21,8537001,48
Prefetch,,21,9604762,54
Prefetch,,21,10667870,60
Prefetch,,21,11735730,66
Prefetch,,21,12801894,72
Prefetch,,21,13871869,78
Prefetch,,21,14937796,84
Prefetch,,21,16003179,90
Prefetch,,21,17171311,96
Prefetch,,21,18204458,102
Prefetch,,21,19276554,108
Prefetch,,21,20364378,114
Prefetch,,21,21431799,120
Prefetch,,21,22513394,126
Prefetch,,21,23602749,132
Prefetch,,21,24650917,138
Prefetch,,21,25711983,144
Prefetch,,21,26858580,150
Prefetch,,21,27853770,156
Prefetch,,21,28915053,162
Prefetch,,21,30016280,168
Prefetch,,21,31092303,174
Prefetch,,21,33030382,180
Prefetch,,21,33302806,186
Prefetch,,21,34350793,192
Prefetch,,21,35517124,198
Prefetch,,21,36704112,204
Prefetch,,21,38137212,210
Prefetch,,21,39207683,216
Prefetch,,21,40096322,222
Prefetch,,21,41226727,228
Prefetch,,21,42294967,234
Prefetch,,21,43337789,240
Prefetch,,21,44147162,246
Prefetch,,21,45382082,252
Prefetch,,21,46724698,258
Prefetch,,21,47856163,264
Prefetch,,21,48870662,270
Prefetch,,21,49708208,276
Prefetch,,21,50469890,282
Prefetch,,21,51469437,288
Prefetch,,21,52448682,294
Prefetch,,21,53353294,300
Prefetch,,21,55193941,306
Prefetch,,21,55717137,312
Prefetch,,21,56716230,318
Prefetch,,21,57776542,324
Prefetch,,21,58755865,330
Prefetch,,21,59815634,336
Prefetch,,21,60918679,342
Prefetch,,21,61884389,348
Prefetch,,21,63094827,354
Prefetch,,21,64105138,360
Prefetch,,21,65097140,366
Prefetch,,21,66233036,372
Prefetch,,21,67234204,378
Prefetch,,21,68336989,384
Prefetch,,21,69374507,390
Prefetch,,21,70444262,396
Prefetch,,21,71488050,402
Prefetch,,21,72616242,408
Prefetch,,21,73733563,414
Prefetch,,21,74826641,420
Prefetch,,21,75811605,426
Prefetch,,21,76879333,432
Prefetch,,21,77981236,438
Prefetch,,21,79208668,444
Prefetch,,21,80659478,450
Prefetch,,21,81118936,456
Prefetch,,21,82183517,462
Prefetch,,21,83273315,468
Prefetch,,21,84570956,474
Prefetch,,21,85545355,480
Prefetch,,21,86951749,486
Prefetch,,21,88286973,492
Prefetch,,21,89294087,498
Prefetch,,21,90019407,504
Prefetch,,21,91093116,510
Prefetch,,21,92386390,516
Prefetch,,21,93129313,522
Prefetch,,21,94558710,528
Prefetch,,21,102515979,534
Prefetch,,21,97754153,540
Prefetch,,21,98154944,546
Prefetch,,21,99620069,552
Prefetch,,21,100691289,558
Prefetch,,21,100579512,564
Prefetch,,21,101787248,570
Prefetch,,21,102687639,576
Prefetch,,21,103565644,582
Prefetch,,21,104772190,588
Prefetch,,21,105762868,594
Prefetch,,21,106798384,600
