group,function,value,sample_time_nanos,iteration_count
Prefetch,,19,970629,6
Prefetch,,19,1956720,12
Prefetch,,19,2908309,18
Prefetch,,19,3929149,24
Prefetch,,19,4865127,30
Prefetch,,19,5840486,36
Prefetch,,19,6812897,42
Prefetch,,19,7798027,48
Prefetch,,19,8770633,54
Prefetch,,19,9757185,60
Prefetch,,19,10752521,66
Prefetch,,19,11726389,72
Prefetch,,19,12668215,78
Prefetch,,19,13667606,84
Prefetch,,19,14641863,90
Prefetch,,19,15590481,96
Prefetch,,19,16579070,102
Prefetch,,19,17583226,108
Prefetch,,19,18523667,114
Prefetch,,19,19507041,120
Prefetch,,19,20452748,126
Prefetch,,19,21498111,132
Prefetch,,19,22435530,138
Prefetch,,19,23412066,144
Prefetch,,19,24346690,150
Prefetch,,19,25445506,156
Prefetch,,19,26327490,162
Prefetch,,19,27317529,168
Prefetch,,19,28285658,174
Prefetch,,19,29217162,180
Prefetch,,19,30225102,186
Prefetch,,19,31224195,192
Prefetch,,19,32190573,198
Prefetch,,19,33130257,204
Prefetch,,19,34138736,210
Prefetch,,19,35114870,216
Prefetch,,19,36121884,222
Prefetch,,19,37039438,228
Prefetch,,19,38097388,234
Prefetch,,19,39092438,240
Prefetch,,19,39973374,246
Prefetch,,19,40954217,252
Prefetch,,19,41911933,258
Prefetch,,19,43497865,264
Prefetch,,19,43910860,270
Prefetch,,19,44833863,276
Prefetch,,19,45797696,282
Prefetch,,19,46962641,288
Prefetch,,19,47482497,294
Prefetch,,19,48434912,300
Prefetch,,19,49874046,306
Prefetch,,19,50374167,312
Prefetch,,19,51345200,318
Prefetch,,19,52329849,324
Prefetch,,19,53280809,330
Prefetch,,19,54251945,336
Prefetch,,19,55214299,342
Prefetch,,19,56192143,348
Prefetch,,19,57440571,354
Prefetch,,19,58163059,360
Prefetch,,19,59097903,366
Prefetch,,19,60080733,372
Prefetch,,19,61083734,378
Prefetch,,19,62833657,384
Prefetch,,19,62976012,390
Prefetch,,19,63953525,396
Prefetch,,19,65001823,402
Prefetch,,19,65881305,408
Prefetch,,19,66843460,414
Prefetch,,19,67898302,420
Prefetch,,19,68784529,426
Prefetch,,19,69749739,432
Prefetch,,19,70783760,438
Prefetch,,19,71818858,444
Prefetch,,19,72659356,450
Prefetch,,19,73627703,456
Prefetch,,19,74596545,462
Prefetch,,19,75574103,468
Prefetch,,19,76598378,474
Prefetch,,19,77579660,480
Prefetch,,19,78464999,486
Prefetch,,19,79441341,492
Prefetch,,19,80396765,498
Prefetch,,19,81372500,504
Prefetch,,19,82472635,510
Prefetch,,19,83313001,516
Prefetch,,19,84280871,522
Prefetch,,19,85254239,528
Prefetch,,19,86223853,534
Prefetch,,19,87190626,540
Prefetch,,19,88245647,546
Prefetch,,19,89120844,552
Prefetch,,19,90096838,558
Prefetch,,19,91064740,564
Prefetch,,19,92099239,570
Prefetch,,19,93074413,576
Prefetch,,19,93974965,582
Prefetch,,19,94926673,588
Prefetch,,19,95998701,594
Prefetch,,19,96880116,600
