group,function,value,sample_time_nanos,iteration_count
Prefetch,,14,1026665,8
Prefetch,,14,1931186,16
Prefetch,,14,2897406,24
Prefetch,,14,3854714,32
Prefetch,,14,4821330,40
Prefetch,,14,5784388,48
Prefetch,,14,6746068,56
Prefetch,,14,7712305,64
Prefetch,,14,8675064,72
Prefetch,,14,9643326,80
Prefetch,,14,10616299,88
Prefetch,,14,11568562,96
Prefetch,,14,12534152,104
Prefetch,,14,13498341,112
Prefetch,,14,14459391,120
Prefetch,,14,15430870,128
Prefetch,,14,16406831,136
Prefetch,,14,17349476,144
Prefetch,,14,18313989,152
Prefetch,,14,19287301,160
Prefetch,,14,20238463,168
Prefetch,,14,21206642,176
Prefetch,,14,22169867,184
Prefetch,,14,23130882,192
Prefetch,,14,24099252,200
Prefetch,,14,25059898,208
Prefetch,,14,26047619,216
Prefetch,,14,27018600,224
Prefetch,,14,27953360,232
Prefetch,,14,28917036,240
Prefetch,,14,29882767,248
Prefetch,,14,30845969,256
Prefetch,,14,31810303,264
Prefetch,,14,32771164,272
Prefetch,,14,33740666,280
Prefetch,,14,34749155,288
Prefetch,,14,35679772,296
Prefetch,,14,38809548,304
Prefetch,,14,37639733,312
Prefetch,,14,38611697,320
Prefetch,,14,39526069,328
Prefetch,,14,40474256,336
Prefetch,,14,41440528,344
Prefetch,,14,46004718,352
Prefetch,,14,49343581,360
Prefetch,,14,54002886,368
Prefetch,,14,50723506,376
Prefetch,,14,46809876,384
Prefetch,,14,47566252,392
Prefetch,,14,48263577,400
Prefetch,,14,49230633,408
Prefetch,,14,50218101,416
Prefetch,,14,51569842,424
Prefetch,,14,53163913,432
Prefetch,,14,53390614,440
Prefetch,,14,54036885,448
Prefetch,,14,55223043,456
Prefetch,,14,55957260,464
Prefetch,,14,56921137,472
Prefetch,,14,58604429,480
Prefetch,,14,58942538,488
Prefetch,,14,59970629,496
Prefetch,,14,60910911,504
Prefetch,,14,62433945,512
Prefetch,,14,62708834,520
Prefetch,,14,63626162,528
Prefetch,,14,64598782,536
Prefetch,,14,65540235,544
Prefetch,,14,66489332,552
Prefetch,,14,67901318,560
Prefetch,,14,68438268,568
Prefetch,,14,69483522,576
Prefetch,,14,70359955,584
Prefetch,,14,71636074,592
Prefetch,,14,72533804,600
Prefetch,,14,73422674,608
Prefetch,,14,74254472,616
Prefetch,,14,75206872,624
Prefetch,,14,76210270,632
Prefetch,,14,77116615,640
Prefetch,,14,78285022,648
Prefetch,,14,79034443,656
Prefetch,,14,80010288,664
Prefetch,,14,81034479,672
Prefetch,,14,81940840,680
Prefetch,,14,82884050,688
Prefetch,,14,83893893,696
Prefetch,,14,84829247,704
Prefetch,,14,91408527,712
Prefetch,,14,87154326,720
Prefetch,,14,108602943,728
Prefetch,,14,93748939,736
Prefetch,,14,89959899,744
Prefetch,,14,91269485,752
Prefetch,,14,92205471,760
Prefetch,,14,93027841,768
Prefetch,,14,93947739,776
Prefetch,,14,94722713,784
Prefetch,,14,95710613,792
Prefetch,,14,97582046,800
