group,function,value,sample_time_nanos,iteration_count
Prefetch,,23,992370,7
Prefetch,,23,2122014,14
Prefetch,,23,3111445,21
Prefetch,,23,3951404,28
Prefetch,,23,4898835,35
Prefetch,,23,5894099,42
Prefetch,,23,6864762,49
Prefetch,,23,7765311,56
Prefetch,,23,8854253,63
Prefetch,,23,9878444,70
Prefetch,,23,10693763,77
Prefetch,,23,11769559,84
Prefetch,,23,12928278,91
Prefetch,,23,13763032,98
Prefetch,,23,14553097,105
Prefetch,,23,15605993,112
Prefetch,,23,16793024,119
Prefetch,,23,17593076,126
Prefetch,,23,18468054,133
Prefetch,,23,19498846,140
Prefetch,,23,20454469,147
Prefetch,,23,21413025,154
Prefetch,,23,22251780,161
Prefetch,,23,23212309,168
Prefetch,,23,24134249,175
Prefetch,,23,25244127,182
Prefetch,,23,26139437,189
Prefetch,,23,27012284,196
Prefetch,,23,28021680,203
Prefetch,,23,29138768,210
Prefetch,,23,30045105,217
Prefetch,,23,38374032,224
Prefetch,,23,32817137,231
Prefetch,,23,33601575,238
Prefetch,,23,33918282,245
Prefetch,,23,34726985,252
Prefetch,,23,35772242,259
Prefetch,,23,36735594,266
Prefetch,,23,37873420,273
Prefetch,,23,40917635,280
Prefetch,,23,40026038,287
Prefetch,,23,41312933,294
Prefetch,,23,42369827,301
Prefetch,,23,42627231,308
Prefetch,,23,43755263,315
Prefetch,,23,44533960,322
Prefetch,,23,46644910,329
Prefetch,,23,46515704,336
Prefetch,,23,47382725,343
Prefetch,,23,48485456,350
Prefetch,,23,58946520,357
Prefetch,,23,66602214,364
Prefetch,,23,52614387,371
Prefetch,,23,52426885,378
Prefetch,,23,53148917,385
Prefetch,,23,54283887,392
Prefetch,,23,56006701,399
Prefetch,,23,56987106,406
Prefetch,,23,57518580,413
Prefetch,,23,58289036,420
Prefetch,,23,59231663,427
Prefetch,,23,60084600,434
Prefetch,,23,61051063,441
Prefetch,,23,61984678,448
Prefetch,,23,63010737,455
Prefetch,,23,63638895,462
Prefetch,,23,64772654,469
Prefetch,,23,65646155,476
Prefetch,,23,66725969,483
Prefetch,,23,67774954,490
Prefetch,,23,68588191,497
Prefetch,,23,69634359,504
Prefetch,,23,70543324,511
Prefetch,,23,71666738,518
Prefetch,,23,72486559,525
Prefetch,,23,73655969,532
Prefetch,,23,74710822,539
Prefetch,,23,83040187,546
Prefetch,,23,76550515,553
Prefetch,,23,77320357,560
Prefetch,,23,78372794,567
Prefetch,,23,84431130,574
Prefetch,,23,82840266,581
Prefetch,,23,83106807,588
Prefetch,,23,88630314,595
Prefetch,,23,85270708,602
Prefetch,,23,84061082,609
Prefetch,,23,85044616,616
Prefetch,,23,85909443,623
Prefetch,,23,86887129,630
Prefetch,,23,87834562,637
Prefetch,,23,88758546,644
Prefetch,,23,89760839,651
Prefetch,,23,90721680,658
Prefetch,,23,91838386,665
Prefetch,,23,92863405,672
Prefetch,,23,93693988,679
Prefetch,,23,95223117,686
Prefetch,,23,95530342,693
Prefetch,,23,96737732,700
