group,function,value,sample_time_nanos,iteration_count
Prefetch,,15,983071,10
Prefetch,,15,1770781,20
Prefetch,,15,2874583,30
Prefetch,,15,3265026,40
Prefetch,,15,4060936,50
Prefetch,,15,4857598,60
Prefetch,,15,5650505,70
Prefetch,,15,6508923,80
Prefetch,,15,7391227,90
Prefetch,,15,8250187,100
Prefetch,,15,9123303,110
Prefetch,,15,10080197,120
Prefetch,,15,11072106,130
Prefetch,,15,12134051,140
Prefetch,,15,12270945,150
Prefetch,,15,13295256,160
Prefetch,,15,13759227,170
Prefetch,,15,15390972,180
Prefetch,,15,15338118,190
Prefetch,,15,16363419,200
Prefetch,,15,16960164,210
Prefetch,,15,17722651,220
Prefetch,,15,18558328,230
Prefetch,,15,19714810,240
Prefetch,,15,22729033,250
Prefetch,,15,22682728,260
Prefetch,,15,23007732,270
Prefetch,,15,23700339,280
Prefetch,,15,25224606,290
Prefetch,,15,24520037,300
Prefetch,,15,25953737,310
Prefetch,,15,29298127,320
Prefetch,,15,28052861,330
Prefetch,,15,27873964,340
Prefetch,,15,30161388,350
Prefetch,,15,29197216,360
Prefetch,,15,29939441,370
Prefetch,,15,34982323,380
Prefetch,,15,32501389,390
Prefetch,,15,34399096,400
Prefetch,,15,33243758,410
Prefetch,,15,39451980,420
Prefetch,,15,37367326,430
Prefetch,,15,38472823,440
Prefetch,,15,40106412,450
Prefetch,,15,39339731,460
Prefetch,,15,39053746,470
Prefetch,,15,38813754,480
Prefetch,,15,54512090,490
Prefetch,,15,49842233,500
Prefetch,,15,43563350,510
Prefetch,,15,43511230,520
Prefetch,,15,48469756,530
Prefetch,,15,44810630,540
Prefetch,,15,47152161,550
Prefetch,,15,56868796,560
Prefetch,,15,54336075,570
Prefetch,,15,65793284,580
Prefetch,,15,57871662,590
Prefetch,,15,55130123,600
Prefetch,,15,50519384,610
Prefetch,,15,51782743,620
Prefetch,,15,52335698,630
Prefetch,,15,52470347,640
Prefetch,,15,55723271,650
Prefetch,,15,56685701,660
Prefetch,,15,60981980,670
Prefetch,,15,58711747,680
Prefetch,,15,57074884,690
Prefetch,,15,57513075,700
Prefetch,,15,59378205,710
Prefetch,,15,60155098,720
Prefetch,,15,63718614,730
Prefetch,,15,61999410,740
Prefetch,,15,64369061,750
Prefetch,,15,62983865,760
Prefetch,,15,66321623,770
Prefetch,,15,65199592,780
Prefetch,,15,65088120,790
Prefetch,,15,66443872,800
Prefetch,,15,66798599,810
Prefetch,,15,67627952,820
Prefetch,,15,69039762,830
Prefetch,,15,67756772,840
Prefetch,,15,69200447,850
Prefetch,,15,69351094,860
Prefetch,,15,71953332,870
Prefetch,,15,71860331,880
Prefetch,,15,75071337,890
Prefetch,,15,78285979,900
Prefetch,,15,75244153,910
Prefetch,,15,74443108,920
Prefetch,,15,78036285,930
Prefetch,,15,77556313,940
Prefetch,,15,77430666,950
Prefetch,,15,82895656,960
Prefetch,,15,79214486,970
Prefetch,,15,79728667,980
Prefetch,,15,81866607,990
Prefetch,,15,88598479,1000
