group,function,value,sample_time_nanos,iteration_count
Prefetch,,38,1041046,4
Prefetch,,38,2070962,8
Prefetch,,38,3108467,12
Prefetch,,38,4173787,16
Prefetch,,38,5199701,20
Prefetch,,38,6230097,24
Prefetch,,38,7280886,28
Prefetch,,38,8307290,32
Prefetch,,38,9337303,36
Prefetch,,38,10372031,40
Prefetch,,38,11423007,44
Prefetch,,38,12440591,48
Prefetch,,38,13508798,52
Prefetch,,38,14631866,56
Prefetch,,38,15644115,60
Prefetch,,38,16600516,64
Prefetch,,38,17649334,68
Prefetch,,38,18705470,72
Prefetch,,38,19728497,76
Prefetch,,38,20738521,80
Prefetch,,38,21715988,84
Prefetch,,38,22757705,88
Prefetch,,38,23922247,92
Prefetch,,38,24776153,96
Prefetch,,38,25796110,100
Prefetch,,38,26844492,104
Prefetch,,38,27876714,108
Prefetch,,38,28866153,112
Prefetch,,38,29972322,116
Prefetch,,38,30927087,120
Prefetch,,38,32127382,124
Prefetch,,38,33054791,128
Prefetch,,38,34044212,132
Prefetch,,38,35111963,136
Prefetch,,38,36159266,140
Prefetch,,38,37106675,144
Prefetch,,38,38213837,148
Prefetch,,38,39235950,152
Prefetch,,38,40282122,156
Prefetch,,38,41273749,160
Prefetch,,38,42315033,164
Prefetch,,38,43462507,168
Prefetch,,38,44383098,172
Prefetch,,38,45667320,176
Prefetch,,38,46757411,180
Prefetch,,38,47746063,184
Prefetch,,38,48696788,188
Prefetch,,38,49576887,192
Prefetch,,38,50569317,196
Prefetch,,38,51601755,200
Prefetch,,38,52661183,204
Prefetch,,38,53716470,208
Prefetch,,38,54739514,212
Prefetch,,38,55695122,216
Prefetch,,38,56779493,220
Prefetch,,38,57786827,224
Prefetch,,38,58772729,228
Prefetch,,38,59860055,232
Prefetch,,38,60879496,236
Prefetch,,38,63094152,240
Prefetch,,38,63449768,244
Prefetch,,38,64328984,248
Prefetch,,38,65148469,252
Prefetch,,38,66246102,256
Prefetch,,38,67456478,260
Prefetch,,38,68450992,264
Prefetch,,38,69479792,268
Prefetch,,38,70586249,272
Prefetch,,38,71530684,276
Prefetch,,38,72679116,280
Prefetch,,38,73659758,284
Prefetch,,38,74714397,288
Prefetch,,38,77152632,292
Prefetch,,38,76796977,296
Prefetch,,38,77705751,300
Prefetch,,38,78550865,304
Prefetch,,38,79801118,308
Prefetch,,38,80479748,312
Prefetch,,38,81491967,316
Prefetch,,38,82655973,320
Prefetch,,38,84278960,324
Prefetch,,38,84922058,328
Prefetch,,38,86110605,332
Prefetch,,38,87227314,336
Prefetch,,38,88449255,340
Prefetch,,38,89738733,344
Prefetch,,38,90380835,348
Prefetch,,38,91074061,352
Prefetch,,38,92183529,356
Prefetch,,38,92841352,360
Prefetch,,38,94244141,364
Prefetch,,38,95520510,368
Prefetch,,38,96227444,372
Prefetch,,38,97254126,376
Prefetch,,38,98362121,380
Prefetch,,38,99704194,384
Prefetch,,38,100638138,388
Prefetch,,38,101699146,392
Prefetch,,38,102766828,396
Prefetch,,38,103724438,400
