group,function,value,sample_time_nanos,iteration_count
Prefetch,,9,953675,12
Prefetch,,9,1904843,24
Prefetch,,9,2857085,36
Prefetch,,9,3807164,48
Prefetch,,9,4763636,60
Prefetch,,9,5712957,72
Prefetch,,9,6669198,84
Prefetch,,9,7623230,96
Prefetch,,9,8571465,108
Prefetch,,9,9538788,120
Prefetch,,9,10479111,132
Prefetch,,9,11432376,144
Prefetch,,9,12380412,156
Prefetch,,9,13330527,168
Prefetch,,9,14284008,180
Prefetch,,9,15243699,192
Prefetch,,9,16191066,204
Prefetch,,9,17157072,216
Prefetch,,9,18096385,228
Prefetch,,9,19044419,240
Prefetch,,9,20003442,252
Prefetch,,9,20955381,264
Prefetch,,9,21894305,276
Prefetch,,9,22872122,288
Prefetch,,9,23800579,300
Prefetch,,9,24753044,312
Prefetch,,9,25704003,324
Prefetch,,9,26658254,336
Prefetch,,9,27611058,348
Prefetch,,9,28600533,360
Prefetch,,9,29514355,372
Prefetch,,9,30459589,384
Prefetch,,9,31444945,396
Prefetch,,9,32357968,408
Prefetch,,9,33324130,420
Prefetch,,9,34267630,432
Prefetch,,9,35231583,444
Prefetch,,9,36173889,456
Prefetch,,9,37160118,468
Prefetch,,9,38206166,480
Prefetch,,9,39043719,492
Prefetch,,9,39996241,504
Prefetch,,9,40947549,516
Prefetch,,9,41889885,528
Prefetch,,9,42854962,540
Prefetch,,9,43806155,552
Prefetch,,9,44754979,564
Prefetch,,9,45695055,576
Prefetch,,9,46655783,588
Prefetch,,9,47608749,600
Prefetch,,9,48547587,612
Prefetch,,9,49518793,624
Prefetch,,9,50470931,636
Prefetch,,9,51416870,648
Prefetch,,9,52401872,660
Prefetch,,9,53325862,672
Prefetch,,9,54267157,684
Prefetch,,9,55222509,696
Prefetch,,9,56308927,708
Prefetch,,9,57127637,720
Prefetch,,9,58076803,732
Prefetch,,9,59024485,744
Prefetch,,9,59998483,756
Prefetch,,9,60951201,768
Prefetch,,9,61886561,780
Prefetch,,9,62840203,792
Prefetch,,9,63811243,804
Prefetch,,9,64742972,816
Prefetch,,9,65756135,828
Prefetch,,9,66648819,840
Prefetch,,9,67579470,852
Prefetch,,9,68540038,864
Prefetch,,9,69514827,876
Prefetch,,9,70566739,888
Prefetch,,9,71400013,900
Prefetch,,9,72369974,912
Prefetch,,9,73339394,924
Prefetch,,9,74259537,936
Prefetch,,9,75218057,948
Prefetch,,9,76182953,960
Prefetch,,9,77130352,972
Prefetch,,9,78055874,984
Prefetch,,9,79019421,996
Prefetch,,9,79964810,1008
Prefetch,,9,80908373,1020
Prefetch,,9,81980715,1032
Prefetch,,9,82823322,1044
Prefetch,,9,83796746,1056
Prefetch,,9,84743168,1068
Prefetch,,9,85665661,1080
Prefetch,,9,86643033,1092
Prefetch,,9,87568265,1104
Prefetch,,9,88579632,1116
Prefetch,,9,89495114,1128
Prefetch,,9,90420973,1140
Prefetch,,9,91511705,1152
Prefetch,,9,92327480,1164
Prefetch,,9,93299500,1176
Prefetch,,9,94234461,1188
Prefetch,,9,95199299,1200
