group,function,value,sample_time_nanos,iteration_count
Prefetch,,10,963520,11
Prefetch,,10,1929136,22
Prefetch,,10,2886825,33
Prefetch,,10,3850924,44
Prefetch,,10,4818470,55
Prefetch,,10,5790040,66
Prefetch,,10,6739979,77
Prefetch,,10,7699786,88
Prefetch,,10,8679619,99
Prefetch,,10,9625041,110
Prefetch,,10,10589110,121
Prefetch,,10,11561871,132
Prefetch,,10,12515277,143
Prefetch,,10,13475138,154
Prefetch,,10,14439154,165
Prefetch,,10,15407873,176
Prefetch,,10,16376423,187
Prefetch,,10,17330410,198
Prefetch,,10,18295462,209
Prefetch,,10,19267458,220
Prefetch,,10,20221527,231
Prefetch,,10,21174482,242
Prefetch,,10,22154354,253
Prefetch,,10,23105212,264
Prefetch,,10,24069698,275
Prefetch,,10,25066953,286
Prefetch,,10,25991294,297
Prefetch,,10,26962600,308
Prefetch,,10,27965066,319
Prefetch,,10,28897242,330
Prefetch,,10,29841887,341
Prefetch,,10,30852187,352
Prefetch,,10,31773452,363
Prefetch,,10,32752527,374
Prefetch,,10,33694911,385
Prefetch,,10,34661478,396
Prefetch,,10,35617979,407
Prefetch,,10,36598997,418
Prefetch,,10,37557389,429
Prefetch,,10,38509619,440
Prefetch,,10,39480466,451
Prefetch,,10,40454683,462
Prefetch,,10,41391168,473
Prefetch,,10,42378310,484
Prefetch,,10,43365737,495
Prefetch,,10,44280050,506
Prefetch,,10,45270617,517
Prefetch,,10,46221861,528
Prefetch,,10,47181307,539
Prefetch,,10,48133837,550
Prefetch,,10,49106523,561
Prefetch,,10,50160094,572
Prefetch,,10,51031712,583
Prefetch,,10,52026887,594
Prefetch,,10,52945535,605
Prefetch,,10,53913624,616
Prefetch,,10,54873785,627
Prefetch,,10,55842503,638
Prefetch,,10,56812528,649
Prefetch,,10,57765122,660
Prefetch,,10,58725765,671
Prefetch,,10,59708871,682
Prefetch,,10,60682324,693
Prefetch,,10,61618996,704
Prefetch,,10,62578564,715
Prefetch,,10,63538615,726
Prefetch,,10,64521820,737
Prefetch,,10,65499372,748
Prefetch,,10,66466034,759
Prefetch,,10,67422089,770
Prefetch,,10,68388777,781
Prefetch,,10,69314904,792
Prefetch,,10,70288900,803
Prefetch,,10,71249173,814
Prefetch,,10,72204411,825
Prefetch,,10,73201658,836
Prefetch,,10,74133001,847
Prefetch,,10,75122398,858
Prefetch,,10,76136543,869
Prefetch,,10,77040451,880
Prefetch,,10,78078877,891
Prefetch,,10,78980627,902
Prefetch,,10,80349060,913
Prefetch,,10,81637625,924
Prefetch,,10,82801169,935
Prefetch,,10,83457936,946
Prefetch,,10,83926469,957
Prefetch,,10,84786502,968
Prefetch,,10,85700877,979
Prefetch,,10,86918787,990
Prefetch,,10,87920684,1001
Prefetch,,10,88974298,1012
Prefetch,,10,89811637,1023
Prefetch,,10,90685576,1034
Prefetch,,10,91746328,1045
Prefetch,,10,92631034,1056
Prefetch,,10,94782277,1067
Prefetch,,10,94858777,1078
Prefetch,,10,96522502,1089
Prefetch,,10,97011826,1100
