group,function,value,sample_time_nanos,iteration_count
Prefetch,,8,926205,13
Prefetch,,8,1847739,26
Prefetch,,8,2772403,39
Prefetch,,8,3694610,52
Prefetch,,8,4620341,65
Prefetch,,8,5545231,78
Prefetch,,8,6466661,91
Prefetch,,8,7393006,104
Prefetch,,8,8340215,117
Prefetch,,8,9248198,130
Prefetch,,8,10227328,143
Prefetch,,8,11127008,156
Prefetch,,8,12018517,169
Prefetch,,8,12935336,182
Prefetch,,8,13866071,195
Prefetch,,8,14786458,208
Prefetch,,8,15709994,221
Prefetch,,8,16642959,234
Prefetch,,8,17585864,247
Prefetch,,8,18485297,260
Prefetch,,8,19432736,273
Prefetch,,8,20338301,286
Prefetch,,8,21252034,299
Prefetch,,8,22180217,312
Prefetch,,8,23128093,325
Prefetch,,8,24027827,338
Prefetch,,8,24985950,351
Prefetch,,8,25888504,364
Prefetch,,8,26799489,377
Prefetch,,8,27731717,390
Prefetch,,8,28648765,403
Prefetch,,8,29582348,416
Prefetch,,8,30497283,429
Prefetch,,8,31443597,442
Prefetch,,8,32341432,455
Prefetch,,8,33272076,468
Prefetch,,8,34229302,481
Prefetch,,8,35210660,494
Prefetch,,8,36059276,507
Prefetch,,8,36964400,520
Prefetch,,8,37940970,533
Prefetch,,8,38822388,546
Prefetch,,8,39749415,559
Prefetch,,8,40686216,572
Prefetch,,8,41614189,585
Prefetch,,8,42560906,598
Prefetch,,8,43450003,611
Prefetch,,8,44385591,624
Prefetch,,8,45281225,637
Prefetch,,8,46226168,650
Prefetch,,8,47155956,663
Prefetch,,8,48087494,676
Prefetch,,8,48992031,689
Prefetch,,8,49915856,702
Prefetch,,8,50845596,715
Prefetch,,8,51753116,728
Prefetch,,8,52828994,741
Prefetch,,8,53960067,754
Prefetch,,8,54861080,767
Prefetch,,8,55755774,780
Prefetch,,8,56788603,793
Prefetch,,8,57626667,806
Prefetch,,8,58547413,819
Prefetch,,8,59538022,832
Prefetch,,8,60379388,845
Prefetch,,8,61341865,858
Prefetch,,8,62225502,871
Prefetch,,8,63168991,884
Prefetch,,8,64073160,897
Prefetch,,8,65048148,910
Prefetch,,8,65971386,923
Prefetch,,8,66617001,936
Prefetch,,8,67488781,949
Prefetch,,8,68409407,962
Prefetch,,8,69362020,975
Prefetch,,8,70241426,988
Prefetch,,8,71171236,1001
Prefetch,,8,72114309,1014
Prefetch,,8,73029983,1027
Prefetch,,8,73932369,1040
Prefetch,,8,74881718,1053
Prefetch,,8,75851779,1066
Prefetch,,8,76721304,1079
Prefetch,,8,77661441,1092
Prefetch,,8,78597060,1105
Prefetch,,8,79501705,1118
Prefetch,,8,80537923,1131
Prefetch,,8,81338255,1144
Prefetch,,8,82300583,1157
Prefetch,,8,83177455,1170
Prefetch,,8,84111477,1183
Prefetch,,8,85046714,1196
Prefetch,,8,85956108,1209
Prefetch,,8,86894944,1222
Prefetch,,8,87790363,1235
Prefetch,,8,88719394,1248
Prefetch,,8,89684837,1261
Prefetch,,8,90706831,1274
Prefetch,,8,91809077,1287
Prefetch,,8,92646225,1300
