group,function,value,sample_time_nanos,iteration_count
Prefetch,,31,916044,4
Prefetch,,31,1792977,8
Prefetch,,31,2751574,12
Prefetch,,31,3682478,16
Prefetch,,31,4462633,20
Prefetch,,31,5388460,24
Prefetch,,31,6303297,28
Prefetch,,31,7139482,32
Prefetch,,31,8069099,36
Prefetch,,31,8936810,40
Prefetch,,31,9811686,44
Prefetch,,31,10804081,48
Prefetch,,31,11378044,52
Prefetch,,31,12413604,56
Prefetch,,31,13715269,60
Prefetch,,31,14538666,64
Prefetch,,31,15129562,68
Prefetch,,31,16153694,72
Prefetch,,31,17055320,76
Prefetch,,31,17903673,80
Prefetch,,31,18888819,84
Prefetch,,31,19559386,88
Prefetch,,31,20559823,92
Prefetch,,31,21198615,96
Prefetch,,31,22335588,100
Prefetch,,31,23331425,104
Prefetch,,31,24261779,108
Prefetch,,31,25004502,112
Prefetch,,31,25974999,116
Prefetch,,31,26703546,120
Prefetch,,31,27803104,124
Prefetch,,31,28633539,128
Prefetch,,31,29746512,132
Prefetch,,31,30253981,136
Prefetch,,31,31546601,140
Prefetch,,31,32317145,144
Prefetch,,31,33103716,148
Prefetch,,31,33909502,152
Prefetch,,31,34643175,156
Prefetch,,31,36060771,160
Prefetch,,31,36698630,164
Prefetch,,31,37350350,168
Prefetch,,31,38498968,172
Prefetch,,31,39359845,176
Prefetch,,31,40347329,180
Prefetch,,31,41211025,184
Prefetch,,31,42496515,188
Prefetch,,31,43082646,192
Prefetch,,31,43801554,196
Prefetch,,31,44855008,200
Prefetch,,31,45401672,204
Prefetch,,31,46830861,208
Prefetch,,31,47367806,212
Prefetch,,31,48403198,216
Prefetch,,31,49274136,220
Prefetch,,31,49917636,224
Prefetch,,31,51191045,228
Prefetch,,31,51704591,232
Prefetch,,31,52884176,236
Prefetch,,31,53586815,240
Prefetch,,31,54669455,244
Prefetch,,31,55782012,248
Prefetch,,31,56381791,252
Prefetch,,31,57263102,256
Prefetch,,31,58549567,260
Prefetch,,31,59058660,264
Prefetch,,31,59831915,268
Prefetch,,31,60670436,272
Prefetch,,31,61788786,276
Prefetch,,31,62288115,280
Prefetch,,31,63622656,284
Prefetch,,31,64525363,288
Prefetch,,31,65359280,292
Prefetch,,31,65930528,296
Prefetch,,31,67250085,300
Prefetch,,31,67873810,304
Prefetch,,31,68627103,308
Prefetch,,31,69782229,312
Prefetch,,31,71113614,316
Prefetch,,31,71606796,320
Prefetch,,31,71974377,324
Prefetch,,31,74053992,328
Prefetch,,31,74375280,332
Prefetch,,31,75029101,336
Prefetch,,31,76041774,340
Prefetch,,31,76970023,344
Prefetch,,31,78337262,348
Prefetch,,31,78693186,352
Prefetch,,31,79643816,356
Prefetch,,31,81290649,360
Prefetch,,31,81511857,364
Prefetch,,31,82498900,368
Prefetch,,31,82192103,372
Prefetch,,31,83522316,376
Prefetch,,31,84941971,380
Prefetch,,31,85678920,384
Prefetch,,31,86850566,388
Prefetch,,31,87777955,392
Prefetch,,31,88655341,396
Prefetch,,31,91155511,400
