group,function,value,sample_time_nanos,iteration_count
Prefetch,,46,1309710,3
Prefetch,,46,2618131,6
Prefetch,,46,3926093,9
Prefetch,,46,5239055,12
Prefetch,,46,6548881,15
Prefetch,,46,7854878,18
Prefetch,,46,9160596,21
Prefetch,,46,10468450,24
Prefetch,,46,11776470,27
Prefetch,,46,13087618,30
Prefetch,,46,14397974,33
Prefetch,,46,15702423,36
Prefetch,,46,17008263,39
Prefetch,,46,18321116,42
Prefetch,,46,19633883,45
Prefetch,,46,20937536,48
Prefetch,,46,22248997,51
Prefetch,,46,23554214,54
Prefetch,,46,24875819,57
Prefetch,,46,26182679,60
Prefetch,,46,27483017,63
Prefetch,,46,28792314,66
Prefetch,,46,30099272,69
Prefetch,,46,31408975,72
Prefetch,,46,32721396,75
Prefetch,,46,34035465,78
Prefetch,,46,35338099,81
Prefetch,,46,36642825,84
Prefetch,,46,37974804,87
Prefetch,,46,39260822,90
Prefetch,,46,40564173,93
Prefetch,,46,41889616,96
Prefetch,,46,43204676,99
Prefetch,,46,44500737,102
Prefetch,,46,45809809,105
Prefetch,,46,47107185,108
Prefetch,,46,48416193,111
Prefetch,,46,49723656,114
Prefetch,,46,51040403,117
Prefetch,,46,52348275,120
Prefetch,,46,53679626,123
Prefetch,,46,55001687,126
Prefetch,,46,56267642,129
Prefetch,,46,57570809,132
Prefetch,,46,58963207,135
Prefetch,,46,60187139,138
Prefetch,,46,61577044,141
Prefetch,,46,62807816,144
Prefetch,,46,64199606,147
Prefetch,,46,65405409,150
Prefetch,,46,66719768,153
Prefetch,,46,68030287,156
Prefetch,,46,69329958,159
Prefetch,,46,70646807,162
Prefetch,,46,71947366,165
Prefetch,,46,73246218,168
Prefetch,,46,74555378,171
Prefetch,,46,75861409,174
Prefetch,,46,77337851,177
Prefetch,,46,78529913,180
Prefetch,,46,79802648,183
Prefetch,,46,81107850,186
Prefetch,,46,82424119,189
Prefetch,,46,83712185,192
Prefetch,,46,85070432,195
Prefetch,,46,86368084,198
Prefetch,,46,87688952,201
Prefetch,,46,88976096,204
Prefetch,,46,90296355,207
Prefetch,,46,91608319,210
Prefetch,,46,92914792,213
Prefetch,,46,94201182,216
Prefetch,,46,95500736,219
Prefetch,,46,96814064,222
Prefetch,,46,98100453,225
Prefetch,,46,99432279,228
Prefetch,,46,100727074,231
Prefetch,,46,102059504,234
Prefetch,,46,103980984,237
Prefetch,,46,104836144,240
Prefetch,,46,106110498,243
Prefetch,,46,107300395,246
Prefetch,,46,108608131,249
Prefetch,,46,109900966,252
Prefetch,,46,111199212,255
Prefetch,,46,112500466,258
Prefetch,,46,113934868,261
Prefetch,,46,115192402,264
Prefetch,,46,116497324,267
Prefetch,,46,117732363,270
Prefetch,,46,119059912,273
Prefetch,,46,120321188,276
Prefetch,,46,121733418,279
Prefetch,,46,122990518,282
Prefetch,,46,124333480,285
Prefetch,,46,125682132,288
Prefetch,,46,126899033,291
Prefetch,,46,128236608,294
Prefetch,,46,129540468,297
Prefetch,,46,130847627,300
